Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Apr-24,EQ,418,426.25,416,418.85,424,424.75,423.64,499.7,392.9,"1,65,82,634","7,02,50,82,961.80","2,04,429"
18-Apr-24,EQ,426,426.9,417.65,425.9,419.75,418.85,421.58,499.7,392.9,"2,13,12,388","8,98,48,44,459.55","2,04,523"
16-Apr-24,EQ,423.25,427,423.2,425.9,426.45,425.9,425.24,499.7,392.9,"99,73,638","4,24,11,46,046.55","1,22,310"
15-Apr-24,EQ,428,429.15,422.9,430.1,425.6,425.9,426.01,499.7,392.9,"87,46,243","3,72,59,90,666.80","1,64,057"
12-Apr-24,EQ,435,435.75,428.3,436.95,430.5,430.1,431.16,499.7,384.75,"1,80,88,372","7,79,90,28,304.50","2,89,969"
10-Apr-24,EQ,428.3,437.8,425.75,426.35,436,436.95,433,499.7,384.75,"1,40,08,124","6,06,54,76,490.20","1,76,163"
09-Apr-24,EQ,430.45,431.5,425.55,429.1,426.6,426.35,428.43,499.7,384.75,"67,08,894","2,87,42,87,671.10","90,615"
08-Apr-24,EQ,428.3,431.4,427.75,427.55,428.9,429.1,429.51,499.7,384.75,"85,16,632","3,65,80,10,051.95","1,50,775"
05-Apr-24,EQ,422.5,431.7,419.95,422.75,427.5,427.55,427.69,499.7,378.5,"1,61,47,032","6,90,59,82,420.40","1,57,872"
04-Apr-24,EQ,425.55,427.35,419.9,425.2,423.1,422.75,423.26,499.7,378.5,"1,83,58,410","7,77,04,65,539.95","3,03,184"
03-Apr-24,EQ,426,428.8,421,425.85,425.5,425.2,424.61,499.7,378.5,"1,26,64,520","5,37,74,67,608.15","1,60,696"
02-Apr-24,EQ,428.7,428.7,424.6,426.7,425.5,425.85,425.87,499.7,378.5,"88,53,678","3,77,05,20,504.55","1,23,768"
01-Apr-24,EQ,429.1,431.35,425.75,428.35,427.6,426.7,427.8,499.7,378.5,"93,82,308","4,01,37,82,933.55","1,18,264"
28-Mar-24,EQ,428,433.25,427,428,429,428.35,429.66,499.7,376.35,"2,79,33,211","12,00,18,38,115.50","2,00,930"
27-Mar-24,EQ,427,428.9,426.45,427.65,428.4,428,427.94,499.7,376.35,"1,22,27,545","5,23,27,02,625.55","1,48,670"
26-Mar-24,EQ,425.55,429.2,425.55,428.6,428,427.65,427.57,499.7,376.35,"1,02,74,145","4,39,29,64,487.05","1,27,865"
22-Mar-24,EQ,421.25,429.65,421.25,421.25,428.3,428.6,427.27,499.7,372,"3,88,61,818","16,60,46,49,595.70","2,85,729"
21-Mar-24,EQ,419,422,416.2,415.7,421.25,421.25,419.96,499.7,372,"1,92,27,982","8,07,49,86,841.45","2,65,798"
